L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
-0.6008935,-0.25827366,0.1525999,-0.043825388,-0.09140107,-0.37281618,-0.36326236,-0.48357755,1,Max Aarons
0.49930584,-0.6653351,0.700918,-0.12518013,-0.15390432,0.25346953,0.021120861,0.1512497,0,Max Aarons
-0.5131428,-0.23941657,0.26126772,-0.1179634,-0.23595586,-0.40823606,-0.36913928,-0.41782933,1,Rodrigo Abajas
0.08266242,-0.3942021,0.14143267,0.040535092,-0.25074884,0.08258642,-0.065726906,-0.17914532,1,James Abankwah
-0.21221793,-0.3814428,0.29215452,0.076495565,0.05002712,-0.11943662,-0.12779918,-0.024042457,1,Keyliane Abdallah
0.515626,-0.620716,0.009499699,0.15701297,-0.77853215,0.312107,0.37319273,-0.22916925,0,Yunis Abdelhamid
-0.30533358,-0.2514004,0.10650092,0.15470281,0.0355195,-0.09532728,-0.13699768,-0.23348017,1,Himad Abdelli
0.3706708,-0.51206,0.00064609945,0.056322977,-1.0631957,0.19827081,0.22073883,-0.4872983,0,Mohamed Abdelmoneim
-0.49199623,-0.23294574,0.54656845,-0.09056495,0.3840662,-0.3250958,-0.5281937,-0.30956647,1,Ali Abdi
-0.0033441484,-0.37058488,0.045247972,0.20309635,-0.64935803,0.11660546,0.07976565,-0.46396232,1,Saud Abdulhamid
-0.49598563,-0.2515009,0.36033475,0.04848039,0.334232,-0.18446451,-0.43498066,-0.38936213,1,Abel
-0.14215755,-0.32341218,-0.023203433,0.27278876,-0.47548443,0.24525669,-0.015199497,-0.61744374,1,Nabil Aberdin
0.41637164,-0.44358778,0.055938616,0.040682808,-0.9460477,0.22028372,0.12918675,-0.51647276,0,Oliver Abildgaard
-0.084656134,-0.27534264,0.5331503,-0.19765034,-0.15848035,-0.17719951,-0.33531442,-0.13760485,1,Matthis Abline
-0.07300114,-0.34928614,0.009841576,0.23548529,-0.5872021,0.13363162,0.049610883,-0.48640653,1,Abner
-0.59677637,-0.23734081,0.20410681,0.024196051,0.21235844,-0.26109523,-0.433051,-0.48697782,1,Zakaria Aboukhlal
0.33890194,-0.6436485,0.083259836,0.34800607,-0.4694297,0.31467742,0.41713417,-0.08496842,0,Abdel Abqar
-0.17268014,-0.38400376,-0.052814633,0.29212826,-0.17461777,0.057619847,0.14742568,-0.16058062,1,Tammy Abraham
-0.17515557,-0.31242448,-0.019147456,0.24592394,-0.27151245,0.07511509,0.043209106,-0.311286,1,Tammy Abraham
-0.06267547,-0.3165959,0.2166974,0.19433449,-0.07542415,0.076692164,-0.036407918,-0.21352422,1,Federico Accornero
-0.3742816,-0.21307871,0.05325438,0.10855874,-0.052149765,-0.12735572,-0.2075389,-0.40773857,1,Francesco Acerbi
-0.14331904,-0.38800764,-0.07129526,0.33156478,-0.21967654,0.10007094,0.17311308,-0.20131922,1,Joshua Acheampong
-0.6016811,-0.23813339,0.1962614,0.095299795,0.36446026,-0.21712269,-0.44829267,-0.4628843,1,Akor Adams
-0.5091434,-0.24680355,0.1825542,0.14341353,0.2941999,-0.13312195,-0.3745716,-0.4261366,1,Akor Adams
-0.05468589,-0.37830985,0.55078185,0.030386984,0.1640676,0.05268766,-0.34124273,-0.17617832,1,Che Adams
-0.29371214,-0.36812478,0.18810506,0.006791204,-0.18375246,-0.21229179,-0.048038475,-0.07683468,1,Tyler Adams
-0.39486885,-0.17409486,0.42479074,-0.15226558,0.05536991,-0.30459496,-0.44901282,-0.36150458,1,Junior Adamu
-0.2223629,-0.3133336,0.13289668,0.1409998,-0.015527006,-0.058397666,-0.048185244,-0.12105319,1,Tosin Adarabioyo
-0.10297384,-0.20816556,0.36280942,-0.09043896,-0.082835466,-0.09712219,-0.34546858,-0.2194309,1,Martin Adeline
