Cluster,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0,0.4697,0.4989,0.4711,0.5542,0.5065,0.5867,0.4512,0.3939,0.5768,0.49,0.5751,0.3025,0.3061,0.2146,0.0991,0.5043,0.5931,0.4151,0.4072,0.4179
1,0.0784,0.1255,0.0937,0.1566,0.1088,0.2608,0.6106,0.2457,0.1958,0.1709,0.3089,0.311,0.3113,0.3082,0.2281,0.1773,0.1692,0.4647,0.2867,0.3261
