P_C0,P_C1,P_C2,P_C3,P_C4,P_C5,P_C6,P_C7,Player,Cluster
0.0,0.0,0.0,0.0,3.456971e-11,0.0,0.0,1.0,Ola Aina,7
1.3e-43,3.507517e-17,1.0,0.0,0.0,5.69e-43,0.0,0.0,Rayan Aït-Nouri,2
1.8001385e-08,1.0,1.5220738e-07,0.0,3.307002e-28,0.0,0.0,5.6671165e-37,Junior Ajayi,1
7.174085e-28,3.3907437e-17,0.0,7e-44,7.429574e-07,0.0,0.0,1.0,Kristoffer Ajer,7
4.7846764e-22,0.98696876,0.0,0.0,1.4805277e-08,0.0,0.0,0.013031182,Ludovic Ajorque,1
0.9998931,0.0,0.0,0.000106511994,2.7189046e-07,8.200786e-13,1.9106636e-09,0.0,Manuel Akanji,0
0.0,0.0,0.0,1.0,0.0,0.0,1.847275e-09,0.0,Ümit Akdag,3
0.0,1.0,0.0,0.0,1.02e-42,0.0,0.0,2.1113853e-09,Nathan Aké,1
0.0005287931,3.062e-42,4.7168853e-20,3.52e-43,1.8252623e-28,0.9994708,4.849909e-31,3.3748368e-37,Ilias Akhomach,5
2.5467805e-22,5.8400135e-21,1.0,0.0,0.0,2.2866404e-15,0.0,0.0,Sergio Akieme,2
3.4872562e-22,1.1960725e-14,0.0,4.843513e-38,0.00014849908,0.0,1.6892808e-31,0.9998513,Maghnes Akliouche,7
2.331238e-26,0.0,0.0,1.4387393e-27,0.9990163,0.0,0.0,0.0009838202,Paul Akouokou,4
3.961e-42,0.0,0.0,1.0,2.8459427e-08,0.0,0.0,0.0,Clément Akpa,3
6.283614e-35,5.022836e-11,1.0,0.0,0.0,1.5015179e-12,0.0,0.0,Jean-Daniel Akpa-Akpro,2
2.42603e-40,0.0,0.0,1.0,0.0,0.0,1.7214511e-14,0.0,David Akpan Ankeye,3
0.0,5.0113722e-11,0.0,0.0,0.0,0.0,0.0,1.0,Kevin Akpoguma,7
0.0,0.0,0.0,3.89794e-40,1.0,0.0,0.0,2.7705083e-09,Chuba Akpom,4
0.0,1.3501733e-28,0.0,0.0,3.0805982e-19,0.0,0.0,1.0,David Alaba,7
0.0,0.0,0.0,0.0,3.466069e-11,0.0,0.0,1.0,Ibrahim Alani,7
0.0,0.0,2.8128e-41,0.0,0.0,1.0,1.25e-43,0.0,Andreas Albers,5
5.952753e-05,0.9629148,0.037025467,1e-45,6.885155e-14,6.587853e-22,0.0,1.2110478e-31,Raúl Albiol,1
0.0,0.0,0.0,4.0085948e-27,1.0,0.0,0.0,0.0,Carlos Alcaraz,4
0.31883952,1.2122494e-31,7.874406e-15,1.0018554e-23,4.9440064e-13,0.68116015,1.1709061e-26,1.257e-41,Carlos Alcaraz,5
0.0,3.1050003e-13,0.0,0.0,3.1374217e-24,0.0,0.0,1.0,Omar Alderete,7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Carles Aleñá,5
7.533139e-19,9.767757e-38,0.9982049,0.0,0.0,0.0017948992,0.0,0.0,Carles Aleñá,2
4.069078e-06,0.0,0.0,0.9999957,5.570265e-28,0.0,1.2879401e-30,0.0,Ben Alexander Voll,3
5.4668944e-05,0.001654523,0.9982906,0.0,1.7545253e-23,6.0401255e-13,0.0,7.608e-42,Trent Alexander-Arnold,2
0.0,0.0,0.0,0.0,2.5079265e-08,0.0,0.0,1.0,Alfon,7
0.9989907,0.0,0.0,3.4879896e-21,9.472958e-27,3.5457878e-34,0.0010093449,0.0,Mohamed Ali Cho,0
0.0,0.0,0.0,0.0,1.282869e-24,0.0,0.0,1.0,Faride Alidou,7
0.0,1.1339132e-31,1.0,0.0,0.0,1.6977473e-27,0.0,0.0,Alisson,2
3.842583e-39,2.4530998e-05,0.9999752,0.0,0.0,1.32986555e-08,0.0,0.0,Tadeo Allende,2
0.0,0.0,0.0,0.0,0.0,1.0,3.0531132e-29,0.0,Jim Allevinah,5
2.178641e-39,2.2023114e-14,0.0,0.0,1.1060008e-10,0.0,0.0,1.0,Dele Alli,7
0.0,0.0,0.0,5.0894607e-20,1.0,0.0,0.0,0.0,Thiago Almada,4
8.0577345e-10,0.025067022,0.0,6.460463e-20,0.9660284,0.0,6e-44,0.0089044105,Domingos André Ribeiro Almeida,4
2.891e-42,0.0,0.0,0.0,0.0,1.0,1.724675e-33,0.0,Iker Almena,5
2.4875874e-07,0.0,0.0,0.9982496,0.001750224,0.0,9.270577e-21,0.0,Miguel Almirón,3
1.8e-44,0.0,0.0,0.0,0.0,1.0,3.8973343e-33,0.0,Pontus Almqvist,5
1.5171124e-23,3.265e-42,0.0,4.5874338e-27,1.0,0.0,0.0,5.328025e-39,Marcos Alonso,4
2.5488512e-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Giorgio Altare,5
0.0,3.5649536e-14,1.0,0.0,0.0,8.398888e-19,0.0,0.0,Adrià Altimira,2
0.0,0.0,0.0,0.0,0.0,1.0,6e-45,0.0,Sergi Altimira,5
8.357008e-37,1.0,5.8314386e-15,0.0,1.3754312e-23,0.0,0.0,2.16218e-40,Olabade Aluko,1
3.2034862e-19,0.0,0.0,0.0,0.0,1.0,2.493563e-28,0.0,Edson Álvarez,5
1.173862e-34,0.0,0.0,0.0,0.0,0.9999786,2.156802e-05,0.0,Hugo Álvarez,5
1.0,3.7932107e-32,0.0,0.0,3.2194303e-23,2.9706795e-23,6.681127e-33,3.3829933e-31,Julián Álvarez,0
1.2623734e-16,0.0,0.0,0.99999815,0.0,0.0,2.103494e-06,0.0,Yeray Álvarez,3
0.95539045,0.0,0.0,0.044609684,4.103757e-16,0.0,8.614153e-18,0.0,Skelly Alvero,0
2.6410483e-23,0.0,0.0,3.850083e-08,1.0,0.0,0.0,0.0,Will Alves,4
0.0,2.6759915e-18,0.0,0.0,4.2670232e-11,0.0,0.0,1.0,Selim Amallah,7
6.744034e-07,1.1e-44,6.199808e-11,1e-45,1.4427393e-36,1.0,8.942832e-24,0.0,Harry Amass,5
3.5351644e-38,0.0,0.0,5.770019e-20,1.0,0.0,0.0,0.0,Amath,4
0.033603307,1.6069223e-05,6.921298e-25,6.8760145e-12,0.9663803,5.0624817e-11,1.9670305e-15,1.3088714e-07,Jordan Amavi,4
1.1850115e-05,0.9999886,0.0,8.351929e-25,9.485455e-15,1.3360314e-37,1.4537933e-37,7.130229e-24,Aurele Amenda,1
1.0617321e-31,0.0,7.674943e-36,0.0,0.0,1.0,0.0,0.0,Kelvin Amian,5
2.6622512e-05,1.8392483e-13,0.0,6.177749e-14,0.99997336,0.0,0.0,8.63197e-13,Michael Amir Murillo,4
0.0,0.0,1.4071724e-17,0.0,0.0,1.0,0.0,0.0,Nadiem Amiri,5
4.29e-43,0.0,0.0,0.0,0.0,1.0,1.45772145e-27,0.0,Samuel Amo-Ameyaw,5
0.6039425,0.0,0.0,9.727818e-31,8.830808e-28,0.39605778,7.8991275e-17,0.0,Samuel Amo-Ameyaw,0
6.608134e-16,1.5510397e-25,0.0,9.028262e-29,1.0,0.0,2.386728e-36,4.203537e-34,Mathis Amougou,4
1.7737568e-25,7.702765e-13,1.0,0.0,0.0,2.0621922e-16,0.0,0.0,Mathis Amougou,2
7.818917e-21,7.1190644e-11,1.0,0.0,4.12e-43,3.1269406e-33,0.0,0.0,Mohamed Amoura,2
2.049962e-11,0.0,0.0,0.0,0.0,1.0,4.8555537e-09,0.0,Sofyan Amrabat,5
0.0,6.0840635e-09,0.0,0.0,0.0,0.0,0.0,1.0,Joachim Andersen,7
1.9631123e-07,0.9641792,0.035821144,2.7643866e-38,2.6919507e-09,8.571876e-31,0.0,2.4100258e-25,Joachim Andersen,1
0.0,0.0,0.0,1.0,5.251107e-39,0.0,0.0,0.0,Elliot Anderson,3
0.0,1.3277756e-14,1.0,0.0,0.0,0.0,0.0,0.0,André,2
0.0,4.152808e-14,1.0,0.0,2.673055e-39,0.0,0.0,0.0,Benjamin André,2
5.9000274e-07,0.0,0.0,0.0,0.0,0.99999905,1.3468669e-26,0.0,Marcos André,5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Robert Andrich,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Angeliño,5
5.5997437e-23,0.00016697665,0.99983215,0.0,0.0,2.3280481e-18,0.0,0.0,Lorenzo Anghelè,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Faustino Anjorin,5
0.9899184,0.0,0.0,0.008860675,1.312868e-09,3.7224108e-18,0.0012209046,0.0,Waldemar Anton,0
0.0018829893,6.9559033e-22,3.9823706e-05,1.2035004e-37,1.4353062e-29,0.99807733,1.0497231e-23,4.974878e-37,Leandro Antonetti,5
1.0,7.6371937e-25,2.7925565e-17,6.803918e-13,1.1843084e-15,8.275711e-08,8.0060385e-12,0.0,Kyllian Antonio,0
0.0,0.0,0.0,1.0,9.521116e-25,0.0,0.0,0.0,Michail Antonio,3
9.755624e-29,0.0,6.6799866e-16,0.0,0.0,1.0,0.0,0.0,Antoniu,5
1.655957e-23,0.0,0.0,2.1561684e-07,1.0,0.0,3.03e-43,0.0,Antony,4
