Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0.0,0.0,0.012293318581351033,0.01224140041620761,0.01507272590247946,0.030456191543131048,0.801749271137026,0.06675864524455916,0.030303030303030304,0.0,0.049090474351192785,0.16091954022988503,0.1818181818181818,0.27618859735648027,0.279627840764655,0.023076923076923078,0.01079136690647482,0.429,0.14499303452651124,0.18381409475547755
0.3391746749576021,0.10319917440660417,0.39338619460323304,0.3917248133186435,0.24116361443967135,0.2753562775186929,0.6676384839650142,0.8901152699274554,0.5909090909090909,0.59375,0.49603634424028403,0.5172413793103449,0.5636363636363636,0.512921680804892,0.13218770654329143,0.8153846153846155,0.39928057553956836,0.47100000000000003,0.7081172292458319,0.7327916646364241
0.0,0.0,0.0,0.0,0.0,0.0,0.9096209912536446,0.20027593573367747,0.0,0.015625,0.10242969339145469,0.2068965517241379,0.23636363636363633,0.2959163543105146,0.2745436982052976,0.038461538461538464,0.017985611510791366,0.25,0.15807373591371962,0.1813778037648816
0.28264556246466843,0.20639834881320834,0.2643063494990472,0.23258660790794455,0.3240636069033083,0.47336060234999827,0.431486880466472,0.15577017223730472,0.30303030303030304,0.328125,0.48316136033401397,0.45977011494252873,0.43636363636363634,0.3945551390806861,0.1779449895775077,0.2615384615384616,0.36330935251798563,0.414,0.19012145431238017,0.28329597687147745
0.11305822498586737,0.0,0.03073329645337758,0.12241400416207608,0.037681814756198646,0.1216423937680743,0.3877551020408163,0.3115403444746094,0.24242424242424243,0.28125,0.25876878368187756,0.6666666666666667,0.6545454545454545,0.3550996251726175,0.31521683868015654,0.3769230769230769,0.33093525179856115,0.514,0.33008495915550984,0.460333122188114
0.5087620124364032,0.20639834881320834,0.5224660397074188,0.4651732158158891,0.5802999472454592,0.6036266055284887,0.17492711370262382,0.18247363033512837,0.4090909090909091,0.234375,0.3121080027221395,0.09195402298850576,0.07272727272727272,0.07891102781613722,0.17286084701815035,0.5692307692307693,0.6079136690647482,0.40700000000000003,0.31831232790702224,0.28004758888401626
0.056529112492933686,0.10319917440660417,0.036879955744053096,0.1346554045782837,0.04521817770743838,0.13727431414949315,0.7259475218658891,0.2625840046285993,0.16666666666666669,0.171875,0.3268222700435911,0.29885057471264365,0.34545454545454546,0.09863878477017153,0.19828155981493717,0.23076923076923078,0.19784172661870505,0.5,0.2130126817399948,0.2447213695203755
0.3957037874505358,0.20639834881320834,0.6269592476489025,0.19586240665932175,0.6481272138066166,0.7521298491519677,0.11953352769679282,0.06675864524455916,0.18181818181818182,0.15625,0.244054516360426,0.21839080459770116,0.21818181818181817,0.11836654172420583,0.03558899791550155,0.25384615384615383,0.5899280575539568,0.302,0.17965689320261347,0.17244473679936329
0.0,0.10319917440660417,0.05531993361607964,0.03672420124862282,0.06782726656115756,0.10079983325951583,0.5072886297376089,0.3204414971738839,0.12121212121212122,0.15625,0.11530467729772481,0.3793103448275862,0.39999999999999997,0.769382521207338,0.7321165285474603,0.11538461538461539,0.014388489208633094,0.75,0.3477439060282411,0.4315036787993957
0.16958733747880106,0.4127966976264167,0.4364128096379616,0.2693108091565674,0.4069635993669454,0.5020191230492662,0.27988338192419815,0.08456095064310826,0.21212121212121213,0.15625,0.40959002372675607,0.16091954022988503,0.1818181818181818,0.03945551390806861,0.07117799583100308,0.05384615384615385,0.24820143884892087,0.28600000000000003,0.03773128315140256,0.07255680618493072
0.0,0.10319917440660417,0.024586637162702065,0.07344840249724564,0.03014545180495892,0.05390407211525931,0.9708454810495624,0.24478169923005022,0.13636363636363635,0.125,0.14105464511026505,0.22988505747126436,0.32727272727272727,0.512921680804892,0.4016472621892317,0.13846153846153847,0.07913669064748202,0.75,0.5328358306572396,0.5261129789342038
0.16958733747880106,0.10319917440660417,0.2643063494990472,0.12241400416207608,0.3240636069033083,0.5541255243206623,0.09912536443148667,0.0,0.18181818181818182,0.0,0.3323401202891354,0.011494252873563218,0.03636363636363636,0.019727756954034305,0.015252427678072089,0.07692307692307693,0.16187050359712232,0.5,0.01680216093186916,0.02545518036674299
0.5087620124364032,0.3095975232198125,0.5531993361607964,0.24482800832415216,0.6179817620016578,0.5437042440663831,0.4402332361516035,0.1468690195380301,0.3939393939393939,0.109375,0.34153653736504264,0.10344827586206896,0.09090909090909091,0.03945551390806861,0.08134628094971781,0.16923076923076924,0.5503597122302158,0.297,0.26729759249690954,0.24918790300313465
0.0,0.3095975232198125,0.09834654865080826,0.12241400416207608,0.12058180721983568,0.09298387306880641,0.7346938775510206,0.3070897681249721,0.2727272727272727,0.0625,0.29371516857032504,0.9195402298850575,0.8909090909090909,0.6312882225290978,0.20336570237429452,0.1,0.03597122302158273,0.222,0.36801899317841413,0.4664238496646039
0.11305822498586737,0.20639834881320834,0.33806626098715337,0.2937936099889826,0.4144999623181851,0.5332829638121038,0.12536443148688026,0.03115403444746094,0.25757575757575757,0.125,0.25876878368187756,0.06896551724137931,0.03636363636363636,0.23673308344841165,0.09151456606843253,0.05384615384615385,0.302158273381295,0.34500000000000003,0.11425338626657155,0.1403669054231837
0.056529112492933686,0.10319917440660417,0.05531993361607964,0.02448280083241522,0.06782726656115756,0.20240731573873832,0.9300291545189501,0.15577017223730472,0.015151515151515152,0.015625,0.12450109437363202,0.16091954022988503,0.21818181818181817,0.21700532649437737,0.39656311962987434,0.03076923076923077,0.0035971223021582736,0.667,0.4425789910855018,0.4635815101755753
0.3957037874505358,0.619195046439625,0.33806626098715337,0.7344840249724565,0.4144999623181851,0.7391032488341186,0.4402332361516035,0.09346210334238282,0.42424242424242425,0.296875,0.6063933491511707,0.1954022988505747,0.23636363636363633,0.13809429867824013,0.015252427678072089,0.5153846153846154,0.5503597122302158,0.42600000000000005,0.20712636611575105,0.18178385226331428
0.11305822498586737,0.20639834881320834,0.1536664822668879,0.3060350104051902,0.18840907378099322,0.6922074876898621,0.48688046647230343,0.04895633984601004,0.24242424242424243,0.265625,0.6578932847762512,0.22988505747126436,0.23636363636363633,0.15782205563227444,0.020336570237429456,0.3769230769230769,0.4892086330935252,0.42,0.1737705775783697,0.14605158440124089
0.11305822498586737,0.0,0.16595980084823894,0.08568980291345325,0.2034817996834727,0.598415965401349,0.43731778425655965,0.0756597979438337,0.16666666666666669,0.234375,0.5751255310930862,0.13793103448275862,0.14545454545454545,0.0,0.010168285118714726,0.27692307692307694,0.3597122302158274,0.469,0.09659443939384027,0.11356770452662864
0.22611644997173475,0.619195046439625,0.06146659290675516,0.2937936099889826,0.07536362951239729,0.2545137170101344,0.6268221574344024,0.4272553295651786,0.3484848484848485,0.25,0.6174290496422594,0.3333333333333333,0.32727272727272727,0.11836654172420583,0.08643042350907516,0.17692307692307693,0.10791366906474821,0.375,0.33858741505719525,0.3381125241598856
