Player,Cluster,tSNE_1,tSNE_2
Mauro Arambarri,1,-34.236897,-13.211751
Jon Aramburu,1,-38.39615,13.103911
Julian Araujo,1,31.727837,-35.28065
Ronald Araújo,1,-59.27277,0.20267288
Cameron Archer,1,3.768929,-20.36623
Carlens Arcus,1,5.125217,-23.10479
Alphonse Areola,1,-38.046722,-4.121903
Adu Ares,1,0.037454143,-1.3390809
Jesús Areso,0,56.60134,10.49732
David Argüelles,1,4.806621,21.626698
Joe Aribo,0,19.01776,32.404186
Adam Armstrong,1,-11.891775,-29.102486
Harrison Armstrong,0,46.728172,7.731832
José Arnaiz,1,-12.289086,17.771948
Hákon Arnar Haraldsson,1,16.107056,-7.091792
Marko Arnautović,1,3.2996893,25.45941
Maximilian Arnold,0,53.971443,-3.1316898
Jann-Fiete Arp,1,-37.13926,16.605999
Sergio Arribas,1,-48.501842,22.504747
Kepa Arrizabalaga,1,-40.31596,24.9134
Arthur,1,11.639878,31.200773
Takuma Asano,1,-41.138924,14.990789
Raúl Asencio,1,-33.89243,-14.417806
Marco Asensio,1,20.48408,-1.0464145
Marco Asensio,1,20.888426,2.2906218
Kristjan Asllani,1,21.636478,-13.613927
Iago Aspas,1,-25.90168,14.752205
Yaser Asprilla,1,-49.71208,23.121082
Lorenz Assignon,1,0.9606603,1.5446284
Dehmaine Assoumani,0,43.621635,-5.9676847
Valentin Atangana Edoa,1,-11.567563,1.6124854
Arthur Atta,1,-23.373005,13.346575
Noah Atubolu,1,-21.534883,8.6479645
Emil Audero,1,-34.73368,10.792033
Tommaso Augello,1,16.88972,15.5099745
Carlos Augusto,1,13.37998,11.036474
Yann Aurel Bisseck,1,-24.91211,-30.67752
Brandon Austin,0,49.636986,19.215384
Ezequiel Ávila,1,19.45145,-37.740753
Taiwo Awoniyi,1,-5.176916,24.442514
Yasin Ayari,1,26.514893,0.9094255
Florian Ayé,0,43.10324,9.067689
André Ayew,1,-24.418598,-27.860952
Jordan Ayew,1,9.538361,-22.28884
Jordan Ayew,1,-20.787933,-27.224398
Neil El Aynaoui,1,20.787663,-12.670068
Ayman Azhil,1,-1.2895154,28.926495
Adam Aznou,1,-10.989044,17.348612
Adam Aznou,1,-35.22215,31.198347
César Azpilicueta,1,4.975915,15.976375
