Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Thiago Almada,2,-11.097471,30.825876,3.4643068,4.2758026
Domingos André Ribeiro Almeida,4,4.7017913,9.467327,1.1097497,3.456381
Iker Almena,3,-22.939787,-12.609981,3.1177773,-0.1541338
Miguel Almirón,1,-17.944874,3.6862164,3.1486523,1.667327
Pontus Almqvist,3,-26.674747,-15.072256,3.7895513,-0.67547023
Marcos Alonso,4,-5.8131595,8.305671,1.4876891,2.5470595
Giorgio Altare,3,-23.222445,-21.494888,3.079414,-1.0690701
Adrià Altimira,4,18.437695,-30.744556,-2.1084824,0.28961068
Sergi Altimira,3,-32.334484,-23.749037,3.9481034,-1.6656812
Olabade Aluko,0,38.018456,0.48870048,-3.6199155,4.351214
Edson Álvarez,3,-27.21697,-11.549196,3.9095893,-0.09909023
Hugo Álvarez,3,-30.787773,-1.2464182,4.4717493,0.62477136
Julián Álvarez,4,11.068944,-32.587727,-0.7049276,0.106230155
Yeray Álvarez,1,-35.88186,3.3163724,5.4003205,1.2030727
Skelly Alvero,1,-24.752794,8.289119,3.776827,1.7385417
Will Alves,2,-11.630328,28.82154,3.505771,4.201313
Selim Amallah,0,10.960269,32.060207,1.1693901,5.3936977
Harry Amass,4,-3.0465746,-9.584624,1.0321972,1.0539786
Amath,2,-13.853105,25.125566,3.307742,3.9591327
Jordan Amavi,4,2.380904,10.805802,1.1097982,3.517186
Aurele Amenda,0,28.10365,18.829916,-1.390535,5.060859
Kelvin Amian,3,-17.512163,-21.7929,2.1963274,-0.78992593
Michael Amir Murillo,4,-8.689962,6.0468993,1.9949757,2.6469672
Nadiem Amiri,4,8.192461,-24.009167,-0.7988877,0.7480293
Samuel Amo-Ameyaw,3,-31.023022,-20.162437,3.9351618,-1.315397
Samuel Amo-Ameyaw,1,-16.614336,-3.0548549,2.898446,0.98199904
Mathis Amougou,4,1.2508035,21.831635,1.8826115,3.944574
Mathis Amougou,4,11.720966,-12.315717,-0.97346646,1.5904813
Mohamed Amoura,4,24.186842,-15.778695,-2.1042285,2.2859633
Sofyan Amrabat,3,-32.92746,-11.277007,3.6610022,-0.20845129
Joachim Andersen,0,46.760345,7.6421757,-4.114615,6.0391154
Joachim Andersen,4,11.576128,0.29677904,-0.19572774,2.8027303
Elliot Anderson,1,-40.598583,16.75736,6.355336,2.0166621
André,4,40.86606,-9.911917,-3.93611,3.2506309
Benjamin André,4,44.77583,-6.4654365,-5.1787114,4.331797
Marcos André,3,-19.602673,-7.99366,2.8980157,0.29411954
Robert Andrich,4,45.232788,-8.807359,-5.180414,3.8368738
Angeliño,3,-36.541607,-23.952854,4.2140017,-1.9049567
Lorenzo Anghelè,4,11.330594,-12.183627,-1.0303165,1.5412723
Faustino Anjorin,3,-38.91328,-24.677618,4.396389,-2.1153088
Waldemar Anton,1,-17.68385,-1.7790527,2.825283,1.2098888
Leandro Antonetti,4,-0.8323333,-9.8587885,0.71554226,1.2561171
Kyllian Antonio,4,11.552472,-16.869667,-0.87256706,1.4009057
Michail Antonio,1,-36.757942,15.103281,6.127147,2.2398603
Antoniu,3,-15.550309,-13.706894,2.172998,-0.003231526
Antony,2,-10.895193,30.261114,3.4971213,4.240892
Antony,3,-15.257801,-18.602798,2.6366572,-0.6329924
Anuar,2,1.9141959,26.581074,1.9730238,4.9776726
Dennis Appiah,0,41.946926,19.882214,-2.680758,6.283331
Aritz Arambarri,4,13.929174,-11.881123,-1.1739626,1.9578543
Mauro Arambarri,4,22.964388,-24.09578,-2.4275606,1.367282
Jon Aramburu,0,35.15506,9.191841,-2.6419802,5.0204177
Julian Araujo,3,-40.168705,-22.603346,4.5581765,-1.9599811
Ronald Araújo,4,45.85336,-4.0687366,-5.0445304,4.5952826
Cameron Archer,4,-6.5741754,-17.585049,1.2298542,0.11777159
Carlens Arcus,3,-16.436996,-22.104094,2.10379,-0.73692656
Alphonse Areola,4,34.555466,-18.546911,-2.7880394,3.4184322
Adu Ares,4,9.791958,0.026083775,-0.008620606,2.6406894
Jesús Areso,1,-49.253567,12.6038685,7.6684895,1.441252
David Argüelles,2,0.5330487,16.739843,1.6354948,4.0217857
Joe Aribo,2,-15.715227,35.351845,3.7908556,4.8656974
Adam Armstrong,4,6.7135086,-23.74119,-0.6707645,0.6392744
Harrison Armstrong,1,-39.630272,10.382496,6.2878337,1.6470907
José Arnaiz,0,13.481135,15.763171,0.6304079,4.432635
Hákon Arnar Haraldsson,1,-13.339653,-3.89585,2.1512303,1.477928
Marko Arnautović,2,3.6564202,22.620573,1.8018975,4.493144
Maximilian Arnold,1,-51.85787,4.819248,7.582174,0.49252573
Jann-Fiete Arp,0,36.886505,11.062924,-2.723416,5.3523517
Sergio Arribas,0,47.892628,7.9279084,-4.1745133,6.132387
Kepa Arrizabalaga,0,39.353916,20.141487,-2.4296248,6.111245
Arthur,2,-7.641017,33.96638,3.2475674,4.852433
Takuma Asano,0,42.25958,6.7350545,-3.6544156,5.4270525
Raúl Asencio,4,24.66849,-21.662619,-2.5144634,1.8347027
Marco Asensio,3,-14.304887,-1.4542626,2.5633066,1.3321491
Marco Asensio,4,-13.578973,1.4746071,2.4737172,1.755594
Kristjan Asllani,3,-20.297215,-8.835348,2.7483113,0.040446244
Iago Aspas,0,20.344885,6.47743,-0.62887466,4.09452
Yaser Asprilla,0,48.531586,7.539193,-4.176366,6.136731
Lorenz Assignon,4,-0.8900232,-9.214456,0.88084537,1.4724361
Dehmaine Assoumani,1,-42.423477,-0.20619877,5.830535,0.34694818
Valentin Atangana Edoa,4,8.891183,2.1783571,-0.016587373,2.9288187
Arthur Atta,0,21.168756,6.5819955,-0.6866526,4.1829276
Noah Atubolu,4,21.61382,12.073465,-1.8798444,0.24905924
Emil Audero,4,31.082943,7.6922154,-2.5235546,4.2293334
Tommaso Augello,2,-13.7443285,26.54837,3.4697094,4.0017385
Carlos Augusto,2,-10.52356,11.148178,2.0778456,2.3133178
Yann Aurel Bisseck,4,12.133333,-19.528883,-1.2602775,1.457409
Brandon Austin,1,-37.517853,22.558577,5.661206,1.5622587
Ezequiel Ávila,3,-33.551792,-22.269573,3.9734526,-1.6182828
Taiwo Awoniyi,2,5.9076176,23.135632,1.1803116,4.58113
Yasin Ayari,3,-16.796074,2.7695186,2.897004,1.5439922
Florian Ayé,1,-32.107437,10.973012,5.510353,2.2029266
André Ayew,4,9.003988,-19.362074,-0.9277803,0.97746533
Jordan Ayew,3,-21.797327,-28.487984,1.9708457,-0.9760245
Jordan Ayew,4,6.2307553,2.0207071,0.419683,2.5580633
Neil El Aynaoui,3,-13.362993,-21.002604,2.306766,-0.4561825
Ayman Azhil,2,10.696181,18.340769,0.9694099,4.4637012
Adam Aznou,0,12.969405,12.10364,0.48719782,4.102673
Adam Aznou,0,46.927155,20.957005,-3.428617,5.880646
César Azpilicueta,2,10.557304,16.800436,0.9418668,4.3661366
Paulo Azzi,1,-37.428524,8.702599,5.989989,1.6026295
Oussama El Azzouzi,0,10.781335,12.157036,0.406162,4.0463934
Papa Ba,4,12.325108,1.5110673,-0.21576384,2.9869165
Shavy Babicka,3,-14.612739,-24.676554,1.8697857,-0.6128675
Jacopo Bacci,4,3.8679326,3.9119985,0.7120948,2.7154214
Aliou Badara Baldé,0,33.418533,1.0130047,-3.0722528,4.432157
Loïc Bade,4,3.7664704,-19.673218,-0.16050665,0.28131804
Milan Badelj,4,30.367851,-10.4932785,-3.585661,2.9246998
Benoît Badiashile,4,1.8721832,-19.111322,0.110050015,0.2799895
Alex Baena,3,-35.510826,-7.7652245,4.532885,-0.13847631
Juma Bah,2,6.861117,30.280483,1.460794,5.3501287
Juma Bah,2,-8.25804,21.978695,2.5184252,4.0929236
Leon Bailey,4,25.77969,-21.349272,-2.553343,2.100714
Eric Bailly,1,-47.80715,-1.4163632,6.5521274,0.14639947
Theo Bair,0,41.433613,20.164448,-2.657249,6.288792
Stefan Bajcetic,0,11.551843,16.709873,0.79324865,4.479126
Cédric Bakambu,1,-52.478577,4.7537413,7.640731,0.50418705
Mitchel Bakker,0,46.131554,11.236225,-3.7328506,6.2719297
Mitchel Bakker,4,-7.9368787,-27.731892,1.2317342,0.3728658
Darryl Bakola,4,-17.890394,-3.012791,2.714035,1.0197892
Ridle Baku,2,-3.3614054,29.436749,2.6056204,4.9184313
Ridle Baku,4,17.003563,10.183023,-0.37812415,4.042931
Dilane Bakwa,3,10.032453,-31.380697,-0.51401985,0.15130809
Tommaso Baldanzi,4,32.524952,-18.07013,-2.9327252,3.2437255
Alejandro Balde,0,9.758323,26.43042,0.9608477,5.1938896
Keita Baldé,1,-35.31654,9.991818,5.760452,1.9112173
Carlos Baleba,0,43.401382,24.66308,-2.5039423,6.597585
Leonardo Balerdi,3,-45.54352,-2.5818574,6.387426,0.09752694
Iván Balliu,3,-19.229696,-13.745273,2.7902544,-0.23029351
Fodé Ballo-Touré,4,23.156042,-27.88672,-2.0998847,0.66744417
Botond Balogh,3,-23.406996,-1.6704441,2.963103,0.64947444
Folarin Balogun,4,20.741648,-19.638489,-2.1541984,1.6416129
Mario Balotelli,4,15.999767,-24.711473,-1.4850229,0.8897072
Abdoulaye Bamba,0,41.33062,4.347219,-3.6462011,5.28715
Jonathan Bamba,4,15.471903,-8.870373,-0.89821386,2.376668
Mohamed Bamba,3,-46.10487,-2.8286767,6.365179,0.01552165
Samuel Bamba,1,-41.16575,-0.6177461,5.666665,0.3958727
Lameck Banda,4,22.350044,-40.750572,-2.9536107,-0.78675056
Daniel Bandeira,4,15.215105,0.15692486,-0.57625806,3.0122898
Mattia Bani,3,-16.58087,-9.819936,2.603525,0.44923067
Noahkai Banks,2,9.911755,13.887608,0.6761526,4.0801363
Scott Banks,2,-2.0987089,27.733887,2.347533,4.7990127
Adrian Baquerin,4,2.0680497,-11.978803,0.30547655,1.0347947
Antonín Barák,4,2.9305198,-14.634019,0.079831235,0.8815512
Federico Barba,1,-44.52021,12.278858,6.931584,1.6063366
Valentín Barco,0,42.362938,12.844804,-3.1959267,6.016521
Valentín Barco,4,-0.50643843,2.3215244,1.1500785,2.3452485
Bradley Barcola,4,4.6544113,-15.908534,-0.14166448,0.7799382
Melvin Bard,1,-38.98049,16.958294,6.149708,1.954575
Nicolò Barella,0,39.95286,11.996192,-3.1858535,5.900349
Gabriel Bares,4,15.561346,-31.127235,-1.7282457,0.20250429
Borna Barišić,4,23.512367,-35.91697,-2.8480632,-0.2686228
Téo Barisic,4,28.055126,-14.344747,-2.5464544,2.7161293
Kike Barja,3,-16.175076,-17.902184,2.4232872,-0.5133972
Ross Barkley,4,14.727466,-11.261764,-1.1639963,1.9953064
Aymen Barkok,4,30.340202,-9.887433,-3.5943978,2.9155638
Harvey Barnes,3,-26.372162,-26.367676,2.868869,-1.4930111
Enzo Barrenechea,3,-24.177483,-10.3489685,3.2371771,-0.071050346
Ander Barrenetxea,3,-19.496685,-16.717585,2.547103,-0.38938996
Pablo Barrios,3,-13.78061,-13.79098,2.1643903,0.14099026
Thierno Barry,3,-34.509865,-11.9472,4.025756,-0.58389103
Davide Bartesaghi,2,-10.158813,21.886763,2.9712763,3.6009295
Marc Bartra,1,-55.842743,7.005387,8.283125,0.82256657
Federico Baschirotto,4,25.56686,-37.748302,-3.2092898,-0.43434235
Daniele Baselli,3,-26.19268,6.8320184,3.9334664,1.4607551
Calvin Bassey,1,-14.067051,-0.3932714,2.3982081,1.637201
Aboubacar Bassinga,0,29.897463,18.327103,-1.4858314,5.200952
Alessandro Bastoni,4,34.658142,-16.622442,-2.8034961,3.5942852
Augusto Batalla,1,-53.895542,8.204359,8.168774,0.9103683
Michy Batshuayi,3,-34.3496,-15.856304,4.2886114,-0.9608605
Dylan Batubinsika,0,47.776524,9.639581,-4.026577,6.3264456
Maximilian Bauer,3,-9.904317,-21.878355,1.4427768,-0.31684276
Oliver Baumann,4,7.3166943,-4.0377426,0.18823083,1.9918324
Christoph Baumgartner,2,-6.757292,14.726723,2.1439826,3.3495672
Rafael Bauza,4,13.767724,7.167405,-0.17106032,3.7298012
Altay Bayındır,3,-17.521069,1.3966402,2.890728,1.3823493
Ihlas Bebou,0,41.91272,11.360041,-3.387315,6.071096
Adrian Beck,4,-6.9972844,4.5700684,1.9282783,2.137322
Sheraldo Becker,2,-16.572182,30.293,3.778294,4.369622
Timo Becker,3,-17.673275,-21.217691,2.2217999,-0.8164336
Jan Bednarek,2,-0.1210036,34.97871,2.4890869,5.4599047
Donny van de Beek,4,-3.662612,-14.488581,0.42598557,0.5247073
Hannes Behrens,4,13.561012,0.24315213,-0.42263696,3.0096953
Kevin Behrens,4,16.430067,-37.712715,-2.4015718,-0.4839643
Maximilian Beier,4,14.553738,-15.651985,-1.2593067,1.7878536
Luken Beitia,4,46.147972,-6.797509,-5.186809,4.302114
Ismael Bekhoucha,4,26.742846,-20.36773,-2.5728667,2.3266947
Reda Belahyane,0,35.346737,-17.891481,-2.7671695,3.65017
Reda Belahyane,2,-19.652084,33.012844,2.8574026,4.2778687
Haris Belkebla,3,-40.50726,-18.345488,4.8485985,-1.5158706
Yassin Belkhdim,3,-20.096182,-18.159119,2.5692656,-0.49907318
Stefan Bell,2,-4.8637147,23.710344,2.4755435,4.2738523
Armel Bella Kotchap,2,-1.4466326,25.25288,2.2965722,4.6270566
Raoul Bellanova,4,12.4133835,2.2134774,-0.19387633,3.06667
Raoul Bellanova,3,-11.788509,-18.561865,1.8949411,-0.19677703
Jean-Ricner Bellegarde,2,-9.010715,29.141115,3.0928462,4.308099
Héctor Bellerín,3,-27.842463,-12.15617,3.9888666,-0.15639049
Jude Bellingham,4,4.6906767,1.7698964,0.52875054,2.5489595
Jeanuël Belocian,0,41.759155,21.325953,-2.5594885,6.1487937
