Cluster,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0,0.0595,0.0785,0.0749,0.0925,0.0889,0.1292,0.7862,0.3796,0.1288,0.1166,0.1439,0.4553,0.4514,0.5713,0.5506,0.1473,0.0596,0.5754,0.5493,0.6092
1,0.5023,0.477,0.5041,0.5192,0.5385,0.6355,0.4291,0.3239,0.5329,0.4418,0.5757,0.2515,0.254,0.1695,0.0791,0.488,0.5879,0.413,0.3453,0.3483
2,0.125,0.3315,0.1304,0.4038,0.1492,0.2412,0.6097,0.5296,0.4805,0.4596,0.4355,0.5869,0.5846,0.4831,0.2637,0.4146,0.3894,0.4546,0.5301,0.6078
3,0.1483,0.1352,0.184,0.1694,0.2132,0.5603,0.3584,0.0862,0.1888,0.1384,0.4496,0.1133,0.1189,0.0849,0.0407,0.1728,0.241,0.3818,0.096,0.0987
4,0.0408,0.0822,0.049,0.1081,0.0575,0.1768,0.6586,0.178,0.1451,0.1238,0.2727,0.2453,0.2466,0.238,0.1609,0.1152,0.1133,0.4593,0.1889,0.2222
