Player,Cluster,tSNE_1,tSNE_2
Max Aarons,0,-41.669136,5.5909624
Max Aarons,2,30.825811,-16.355328
Rodrigo Abajas,0,-42.61968,13.336241
James Abankwah,1,16.109184,1.8366961
Keyliane Abdallah,1,6.5124245,-27.550674
Yunis Abdelhamid,2,44.609528,4.798033
Himad Abdelli,0,-10.980478,0.40141279
Mohamed Abdelmoneim,2,44.46834,14.916501
Ali Abdi,1,-35.39886,-33.230522
Saud Abdulhamid,0,19.637522,14.98366
Abel,0,-36.05753,-17.191519
Nabil Aberdin,0,1.822227,40.642517
Oliver Abildgaard,2,46.18922,14.493166
Matthis Abline,1,1.6957177,-30.235056
Abner,0,19.70332,14.918477
Zakaria Aboukhlal,0,-38.271072,-12.217296
Abdel Abqar,2,33.017876,2.8094435
Tammy Abraham,0,14.496104,18.104425
Tammy Abraham,0,12.894955,21.50295
Federico Accornero,0,4.849784,4.3795915
Francesco Acerbi,0,-23.066395,14.583497
Joshua Acheampong,0,15.250723,13.204274
Akor Adams,0,-36.017685,-15.483315
Akor Adams,0,-37.387524,-16.080753
Che Adams,1,4.482515,-9.7896385
Tyler Adams,1,-1.1511104,-17.877974
Junior Adamu,0,-25.530249,-18.680746
Tosin Adarabioyo,0,7.9052463,7.5587564
Martin Adeline,1,-7.588687,-5.9664145
Karim Adeyemi,0,-49.62065,-22.340786
Simon Adingra,1,13.934287,-27.23148
Amine Adli,1,27.345587,-26.560606
Yacine Adli,0,-14.315836,-7.7094464
Adrián,2,48.78769,12.414875
Adryelson,0,-36.91622,-25.132608
Vasilije Adžić,0,-48.142452,-21.127903
Michel Aebischer,0,-50.24748,-23.787498
Oladapo Afolayan,0,7.5218153,25.492086
Emmanuel Agbadou,1,7.6232724,-20.841824
Emmanuel Agbadou,2,48.05321,-7.5467653
Asher Agbinone,1,-20.233555,-32.931503
Jeremy Agbonifo,0,-18.639404,7.09436
Julen Agirrezabala,1,-19.197746,-28.500732
Lucien Agoume,0,2.5168407,40.230698
Felix Agu,0,-43.195747,7.135235
Álvaro Aguado,0,12.037071,25.692732
Lorenzo Aguado,1,-28.660704,-37.22559
Nayef Aguerd,0,-28.880892,4.5064898
Ruben Aguilar,0,-13.572439,20.897823
Naouirou Ahamada,1,35.16606,-20.297659
Honest Ahanor,2,30.675478,0.35238513
Erik Ahlstrand,2,31.935816,-1.9369055
Jean-Eudes Aholou,0,15.925015,10.859965
Joseph Aidoo,0,24.881754,10.164539
Joseph Aidoo,1,24.638166,-12.460818
Ayman Aiki,0,9.3665495,13.423275
Ola Aina,1,-21.151741,-37.84353
Rayan Aït-Nouri,0,-45.550274,-19.576035
Junior Ajayi,0,-13.650653,-10.166693
