grid_size,total_cells,used_cells,min_players_per_cell,max_players_per_cell,mean_players_per_cell,std_players_per_cell,quantization_error,topographic_error,silhouette_score
8x8,64,64,12,51,28.09375,8.605496121204371,1.6595819625190336,0.09621802002224694,0.07009546145783489
10x10,100,100,5,41,17.98,6.527300863730472,1.5594899953762438,0.16518353726362625,0.057023808106875844
12x12,144,144,4,28,12.48611111111111,4.712705800237901,1.4810621822615262,0.19521690767519467,0.05219767258430183
15x15,225,225,2,22,7.9911111111111115,3.7843558509142885,1.3803212487332226,0.22302558398220246,0.048468828512899964
