Cluster,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0,0.026,0.0496,0.0351,0.0755,0.0417,0.1984,0.6172,0.1085,0.0969,0.0885,0.2868,0.1574,0.1623,0.1594,0.1029,0.0827,0.0899,0.3773,0.1041,0.1246
1,0.0664,0.0765,0.0798,0.0916,0.0947,0.1267,0.7931,0.4088,0.1293,0.1214,0.1372,0.4616,0.4587,0.61,0.6047,0.148,0.0515,0.6091,0.6028,0.6625
2,0.3263,0.4479,0.3296,0.5225,0.3621,0.5394,0.4842,0.3696,0.5561,0.4942,0.6355,0.3021,0.2985,0.2081,0.0769,0.5399,0.5746,0.4271,0.3816,0.38
3,0.0544,0.1244,0.0632,0.1557,0.0744,0.1899,0.6425,0.2792,0.2107,0.1841,0.3217,0.3894,0.3845,0.3437,0.2097,0.18,0.1676,0.3827,0.296,0.35
4,0.6112,0.3093,0.6185,0.3314,0.6549,0.694,0.3353,0.1699,0.3389,0.2084,0.3921,0.1585,0.1654,0.0997,0.086,0.2466,0.4479,0.4032,0.2025,0.224
5,0.1337,0.1256,0.1683,0.1517,0.1954,0.543,0.3541,0.0764,0.1725,0.1274,0.4382,0.1052,0.1107,0.0797,0.0389,0.1585,0.2209,0.3679,0.0825,0.0854
6,0.1026,0.3225,0.1159,0.3786,0.1334,0.2205,0.621,0.5284,0.4595,0.4283,0.4132,0.6188,0.6186,0.5107,0.2752,0.3686,0.3415,0.4588,0.5215,0.6112
7,0.0207,0.0272,0.0295,0.0396,0.0356,0.1074,0.7796,0.1459,0.057,0.0474,0.1183,0.2046,0.2075,0.2712,0.2678,0.0564,0.0298,0.6564,0.2136,0.2419
