Player,Cluster,tSNE_1,tSNE_2
Mauro Arambarri,1,-27.854008,30.60273
Jon Aramburu,1,-33.53971,-5.054713
Julian Araujo,1,30.02794,34.17896
Ronald Araújo,1,-47.11872,-3.084697
Cameron Archer,1,4.3569236,12.558234
Carlens Arcus,1,6.235515,25.549404
Alphonse Areola,1,-32.78334,21.200895
Adu Ares,1,-10.832436,-2.4097507
Jesús Areso,0,51.454166,0.70157003
David Argüelles,1,-5.6709056,-28.7002
Joe Aribo,1,19.266745,-29.312244
Adam Armstrong,1,1.6368101,6.5881567
Harrison Armstrong,0,41.379814,-1.1864448
José Arnaiz,1,-11.819016,-16.138584
Hákon Arnar Haraldsson,1,3.3697248,-8.149384
Marko Arnautović,1,5.3823304,-20.160686
Maximilian Arnold,0,53.802757,10.786637
Jann-Fiete Arp,1,-39.52184,-28.640703
Sergio Arribas,1,-33.12465,-28.448492
Kepa Arrizabalaga,1,-38.39899,-26.216562
Arthur,1,2.801557,-35.608242
Takuma Asano,1,-35.13743,-13.675093
Raúl Asencio,1,-29.831434,26.29938
Marco Asensio,1,25.681164,7.83707
Marco Asensio,1,7.2000847,-11.392163
Kristjan Asllani,1,12.892094,24.695114
Iago Aspas,1,-15.649453,-22.873074
Yaser Asprilla,1,-33.877796,-27.868633
Lorenz Assignon,1,-0.32115996,-2.8155363
Dehmaine Assoumani,0,43.65529,11.653444
Valentin Atangana Edoa,1,-3.1431062,-0.20789805
Arthur Atta,1,-15.69672,-3.8025348
Noah Atubolu,1,-23.570597,-4.2719336
Emil Audero,1,-35.07655,-3.52172
Tommaso Augello,1,21.887062,-11.24004
Carlos Augusto,1,18.574343,-9.442299
Yann Aurel Bisseck,1,-0.6202572,6.204368
Brandon Austin,0,46.427696,-3.8533013
Ezequiel Ávila,1,19.614674,34.68352
Taiwo Awoniyi,1,4.6641464,-21.388697
Yasin Ayari,1,23.883663,-0.6925112
Florian Ayé,1,34.73831,-6.2579594
André Ayew,1,-23.31276,12.937973
Jordan Ayew,1,8.4746475,27.137003
Jordan Ayew,1,0.3259336,2.5768993
Neil El Aynaoui,1,7.986318,17.308605
Ayman Azhil,1,-7.08754,-33.83951
Adam Aznou,1,-13.276242,-14.22087
Adam Aznou,1,-28.048641,-18.097021
César Azpilicueta,1,-3.4557445,-21.615536
Paulo Azzi,0,37.536427,-1.6160846
Oussama El Azzouzi,1,-6.2211633,-7.8851223
Papa Ba,1,-10.618827,-1.8060207
Shavy Babicka,1,4.302337,25.387222
Jacopo Bacci,1,7.9245586,-8.847677
Aliou Badara Baldé,1,-14.344163,-22.317783
Loïc Bade,1,-15.457968,22.014458
Milan Badelj,1,-31.37723,15.643574
Benoît Badiashile,1,-6.9235635,17.415257
Alex Baena,1,30.245726,16.882927
Juma Bah,1,-13.011875,-32.317963
Juma Bah,1,26.141022,-15.43168
Leon Bailey,1,-34.311718,24.451624
Eric Bailly,0,48.393616,15.031889
Theo Bair,1,-25.179482,-29.488024
Stefan Bajcetic,1,-12.374254,-15.891612
Cédric Bakambu,0,53.17718,13.127045
Mitchel Bakker,1,-32.437874,-32.590057
Mitchel Bakker,1,-3.3615246,18.651062
Darryl Bakola,1,0.34234992,13.727826
Ridle Baku,1,12.215066,-33.87953
Ridle Baku,1,-16.019882,-1.8094828
Dilane Bakwa,1,-7.151934,19.703588
Tommaso Baldanzi,1,-34.874443,22.60019
Alejandro Balde,1,5.6692867,-22.233442
Keita Baldé,1,35.89203,-5.134691
