Cluster,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0,0.5888,0.4628,0.5987,0.4964,0.6357,0.6723,0.3931,0.3069,0.4973,0.3956,0.5039,0.243,0.2467,0.1636,0.0892,0.4459,0.5782,0.4055,0.3325,0.3419
1,0.0882,0.1522,0.1017,0.1872,0.1179,0.2706,0.6078,0.2647,0.228,0.2011,0.3332,0.3174,0.3179,0.3085,0.2214,0.2037,0.1964,0.4628,0.3026,0.3404
