Cluster,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
0,0.069,0.085,0.0866,0.1095,0.1006,0.2904,0.5896,0.1485,0.1388,0.1109,0.3095,0.1957,0.1986,0.1975,0.1478,0.1198,0.1311,0.451,0.1739,0.1943
1,0.0919,0.2134,0.1034,0.2551,0.1208,0.1958,0.6499,0.4408,0.3121,0.2952,0.3051,0.5385,0.5349,0.5271,0.384,0.2862,0.2441,0.4874,0.51,0.5879
2,0.4811,0.4775,0.4812,0.5358,0.5167,0.6102,0.4486,0.3649,0.5593,0.4673,0.583,0.2737,0.2758,0.1851,0.0824,0.502,0.5885,0.4185,0.3791,0.3825
