L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
0.21773434,0.48057857,0.35117987,0.17729233,0.8272251,0.155073,1.2762883,-0.6670435,2,Honest Ahanor
0.60962427,0.77665436,-0.19738463,-0.11393459,1.0266159,0.12859212,0.90314245,-1.0350518,2,Erik Ahlstrand
0.18943226,0.40833065,-0.038544476,-0.070900366,0.66191715,-0.16145189,0.4757225,-0.2930727,0,Jean-Eudes Aholou
-0.5768032,0.28348634,0.018007025,-1.044248,0.40510184,0.023701236,0.6489203,-0.82964313,0,Joseph Aidoo
-0.14553183,0.642659,-0.7005813,-0.90115064,0.7665611,0.08284508,0.03296835,-0.88416064,1,Joseph Aidoo
-0.22988424,0.19263044,0.20861891,-0.06276032,0.45590937,0.15266846,0.0418766,-0.06245751,0,Ayman Aiki
-0.77040833,-0.31314874,-1.267316,-0.49045008,1.2922654,-1.4384793,-0.21995041,-0.9923353,1,Ola Aina
-1.54955,-0.003895186,0.32703027,-0.6506413,0.44367784,0.35897774,-1.0799026,0.24555579,0,Rayan Aït-Nouri
-0.13912739,-0.009731494,-0.2647817,0.040345445,0.4685514,-0.030659817,-0.7578597,0.120262675,0,Junior Ajayi
-0.8979713,0.22238627,-0.6470761,-0.8430015,0.9637237,-0.011608854,-0.63701767,-0.4002527,1,Kristoffer Ajer
-0.2509743,-0.15129614,-0.4827038,-0.33420926,0.44596457,-0.05180998,-0.6875177,-0.06200738,0,Ludovic Ajorque
-0.03926553,0.061669238,-0.3320816,0.018814936,0.9779928,-0.10416214,0.6146229,-0.31519452,1,Manuel Akanji
-1.1591916,2.0452585,0.17571357,-0.25910467,1.8037271,-1.8961554,3.3864384,-0.9576112,2,Ümit Akdag
-1.0004424,-0.45630744,-0.34114587,-0.4672956,0.37892428,-0.67070055,-1.2895741,-0.14300495,0,Nathan Aké
-0.7198441,0.24104366,-0.007693507,-0.40645427,0.5651487,-0.24959365,0.098011024,0.033825584,0,Ilias Akhomach
-0.685664,-0.0047860965,0.11505561,-0.31729916,0.32374415,0.29726565,-0.4774118,0.16573808,0,Sergio Akieme
-0.46691102,0.15033993,-0.48335615,-0.009165853,1.053273,-0.07404782,-0.75914574,-0.4099107,1,Maghnes Akliouche
-0.25957537,0.20473495,-0.9353699,-0.41825008,1.1554229,-0.56393695,-0.3232824,-0.8525875,1,Paul Akouokou
-0.4856463,1.4313236,-0.9729461,-1.6379695,1.206805,-0.7660975,1.2766845,-2.0662193,2,Clément Akpa
-0.3250855,-0.112255976,0.07954756,-0.34368294,-0.050523967,0.110703304,-0.44144583,0.3144842,0,Jean-Daniel Akpa-Akpro
0.14746904,1.6241088,-0.19004062,0.16241823,1.3844295,-0.78803104,1.811414,-0.90627515,2,David Akpan Ankeye
-0.9933272,-0.6219436,-0.709219,-0.432891,0.5865653,-1.0117269,-1.5912812,-0.5159465,1,Kevin Akpoguma
-0.22884464,1.2372335,-1.3506941,-0.41325778,1.7423561,-0.4644519,-0.4555445,-1.0592892,1,Chuba Akpom
-0.5378267,0.18044415,-1.167004,-0.7883518,0.8260819,0.20223902,-1.1217453,0.02976574,1,David Alaba
-0.19848722,0.47629926,-1.6922683,-0.45794183,1.5775964,-0.4175725,-0.72302485,-0.5353371,1,Ibrahim Alani
-0.48398098,0.29568824,0.6142294,-0.10342103,0.15333466,0.077895105,-0.20911273,0.17891294,0,Andreas Albers
-0.5091436,-0.2581352,-0.19439176,-0.4515903,0.09665608,-0.39361733,-0.32546568,0.26664647,0,Raúl Albiol
0.51000094,0.4872994,-1.5681295,-0.126117,1.6224635,-0.71236324,-0.060897894,-1.6107403,1,Carlos Alcaraz
-0.14530474,0.14212167,-0.01128158,-0.3436635,0.19264793,-0.11471638,-0.03796469,-0.18846686,0,Carlos Alcaraz
-1.3989809,-0.5921755,-0.64082676,-0.8405487,1.0158982,-0.97142917,-0.686758,-0.4935275,1,Omar Alderete
0.025265634,0.39666554,0.68308705,0.0077807605,0.033681437,0.28609854,0.09518387,-0.13604999,0,Carles Aleñá
-0.4484716,0.2402918,0.25617024,-0.17095983,0.33047175,0.401482,-0.3911318,-0.12069191,0,Carles Aleñá
0.24243695,0.5037775,-0.41359252,-0.40091452,1.1869905,0.12649961,1.2846339,-1.3387918,2,Ben Alexander Voll
-0.13046625,0.013136901,-0.19408548,0.049956635,0.4652155,-0.11617084,-0.41900197,0.3418664,0,Trent Alexander-Arnold
-0.066677645,0.39501676,-1.017975,0.22730963,1.5316458,0.023983315,-0.9911676,-0.68719864,1,Alfon
-1.3595408,0.75284225,0.04617899,-0.11369577,1.19017,-1.3352239,0.95819485,0.2825242,2,Mohamed Ali Cho
0.20906845,0.40623155,-1.1072276,0.28072196,1.2592001,-0.16566148,-1.2821035,-0.12008753,1,Faride Alidou
-0.0056014955,-0.4894562,0.25178242,-0.21185857,-0.5860204,-0.0668519,-0.54317325,0.7300849,0,Alisson
0.07252981,-0.78270817,-0.074941404,-0.25961423,-0.50909287,-0.4007877,-0.38238955,0.61479336,0,Tadeo Allende
-0.52434134,-0.1358752,0.6303128,-0.05147332,0.4004481,-0.2859506,0.62946445,0.38586894,0,Jim Allevinah
-0.082863465,0.2650528,-0.64915246,0.11940925,1.014636,-0.033154868,-0.9495859,-0.5080943,1,Dele Alli
0.8148036,0.32035556,-1.3018275,0.54597086,1.7712433,0.044147387,-0.44750437,-1.5300328,1,Thiago Almada
-0.51644146,0.14747044,-0.5441919,-0.24164116,1.0088041,-0.39462698,-0.086062565,0.038907416,1,Domingos André Ribeiro Almeida
-0.4477349,-0.13934636,0.4344122,-0.13775323,0.34595323,-0.10327074,0.33523735,0.199272,0,Iker Almena
-0.53511757,0.64613247,-0.5307275,-0.8298468,1.0743525,-0.20864257,0.9453819,-1.0344838,2,Miguel Almirón
-1.282258,0.24567094,0.8809976,-0.47942984,0.38491857,0.097739175,0.35452095,-0.047611874,0,Pontus Almqvist
0.5034034,0.4210849,-0.5933332,-0.65960234,0.36893338,-0.5959466,-0.4942527,-0.7414883,1,Marcos Alonso
-0.40631866,0.4553146,0.7119253,-0.3142416,0.07311034,0.36089504,0.22003967,-0.18950324,0,Giorgio Altare
-0.24917722,-0.30000964,0.103762396,-0.117221996,-0.17035276,-0.036908977,-0.618523,0.47945574,0,Adrià Altimira
0.09625986,0.21051642,0.47518453,0.09706168,0.16556042,0.055188596,0.22683346,0.13866922,0,Sergi Altimira
-1.0629647,-0.7167481,-0.16823918,-0.5600688,0.23368597,-0.3918717,-1.1092478,0.30256373,0,Olabade Aluko
-1.0354862,0.25105378,0.7118022,-0.74709904,0.26308677,0.06998579,0.7736203,-0.35970816,0,Edson Álvarez
-0.7631853,0.5095651,0.90336555,-1.0356815,0.25022545,0.07130535,1.2596282,-0.66467696,0,Hugo Álvarez
0.16081065,-0.22392355,-0.14964049,-0.5701898,-0.059929132,-0.32805055,-0.115907,-0.049598224,0,Julián Álvarez
-0.9376196,1.2692295,-0.08630184,-0.97398376,0.99754673,-0.7838997,1.7281389,-1.2700139,2,Yeray Álvarez
0.16976976,0.29650536,-0.19015735,-0.17392644,0.8896656,0.2941221,0.77730536,-0.9058602,1,Skelly Alvero
0.53621763,0.6370034,-1.1301367,0.37419707,1.5938983,-0.36053723,0.21107364,-1.0715492,1,Will Alves
-0.1049305,0.2663426,-1.0839331,-0.0048003346,1.1318703,-0.3867547,-0.7238122,0.09957639,1,Selim Amallah
-0.22922894,0.0070330873,0.014619924,-0.41802108,0.3005932,0.14095901,0.13791719,-0.20130733,0,Harry Amass
0.42568737,0.78543794,-0.99221134,-0.0070135146,1.4097784,-0.44771552,-0.8519797,-1.8615918,1,Amath
-0.93426085,-0.22697932,-0.16269042,-0.4262734,0.8640961,-0.7157748,0.12116539,-0.12969488,0,Jordan Amavi
0.005682513,-0.5219761,-0.32675093,-0.0040716827,0.14833382,-0.99609697,-0.23337504,0.26063886,0,Aurele Amenda
-0.52408695,0.14469695,0.6478369,-0.56767684,-0.07619855,0.35354942,0.4224627,-0.17350915,0,Kelvin Amian
-0.25278682,0.5832418,-0.6566443,-0.42175978,0.8288649,-0.25428048,-0.16675189,-0.34875253,1,Michael Amir Murillo
-1.9616268,-0.06214484,0.9852244,-0.69268507,0.5248172,0.25224173,-0.034204572,0.23071197,0,Nadiem Amiri
-0.5615141,0.07943664,0.52612114,-0.05902186,0.34657204,-0.42950356,0.21244666,0.4878476,0,Samuel Amo-Ameyaw
-0.3441001,0.17958975,-0.07144007,-0.03423424,0.7425145,-0.20464586,0.45748186,-0.08133226,0,Samuel Amo-Ameyaw
-0.34914476,0.44402972,-0.39026618,-0.2912908,0.54245913,-0.9144376,0.0917468,0.09142583,1,Mathis Amougou
-0.5547327,0.15374637,0.1349312,-0.21653879,0.2781665,0.3187561,-0.7492273,0.19675747,0,Mathis Amougou
-0.7020688,-0.50936735,-0.008604795,-0.413675,0.17627892,-0.11604801,-0.49679747,0.36950347,0,Mohamed Amoura
0.061500862,0.53135383,0.23900655,0.10339008,0.58244747,-0.043326303,0.4393736,-0.16480479,0,Sofyan Amrabat
-1.3006399,-0.28419665,-0.57758385,-0.50373966,0.8436267,-0.64996886,-1.6828183,-0.3415434,1,Joachim Andersen
-0.42225498,-0.14765434,-0.20015413,-0.334051,0.27686137,-0.31057787,-0.53135574,0.043477975,0,Joachim Andersen
0.24850112,2.1406384,-0.82728565,-1.3259977,1.7229071,-0.43259007,1.9053969,-2.527706,2,Elliot Anderson
-1.4104581,-0.45429108,0.2612828,-0.5792428,0.19209269,0.021257222,-0.9119624,0.54746723,0,André
-2.1190648,-0.53823614,0.34896708,-1.0260063,0.41044465,0.17732407,-0.93656313,0.4497153,0,Benjamin André
0.21798044,0.17585248,0.12597838,-0.037354514,0.5006026,0.3337413,0.48597825,-0.5231028,0,Marcos André
-2.137411,-0.57913584,0.5257425,-0.94785213,0.40792984,0.21012644,-0.67590386,0.54027456,0,Robert Andrich
0.017937139,0.3957912,0.7408181,0.03190796,-0.04542598,0.04739605,0.06601433,0.13526326,0,Angeliño
-0.5902559,0.11654513,0.14256182,-0.30490425,0.2029868,0.15358667,-0.7051219,0.21865696,0,Lorenzo Anghelè
0.16849142,0.23281518,0.7521255,-0.051135406,-0.15735984,-0.016447917,0.24974087,0.29379308,0,Faustino Anjorin
-0.2977805,0.42921147,-0.1519897,-0.4510985,0.7116221,-0.024222553,0.52961826,-0.5594856,0,Waldemar Anton
-0.43158162,0.22589767,0.00041931868,-0.30258346,0.42091936,-0.07965977,-0.08368783,-0.119918644,0,Leandro Antonetti
-0.8812131,0.25617415,0.077465676,-0.46669352,0.7139392,0.028982848,-0.2728636,-0.3075607,0,Kyllian Antonio
0.6921543,1.4504751,-0.83131874,-0.093534306,1.7943721,-0.10041343,1.2732201,-1.8216407,2,Michail Antonio
-0.31478828,-0.14679436,0.34335032,-0.39493805,0.16389877,0.21297522,0.40153784,-0.16334301,0,Antoniu
0.6648783,0.012948759,-0.8840782,0.07789759,1.5651505,0.37406284,0.4895916,-1.4322443,1,Antony
-0.2530404,-0.40460524,0.45136794,-0.3438437,-0.14980856,0.07653768,0.37640575,0.08325594,0,Antony
-0.6596384,0.6808742,-1.3047885,-0.40437818,1.5991554,-0.46473783,-0.2826823,-0.37627146,1,Anuar
-0.73133,-0.5496343,-1.0757658,-0.7423412,0.82277316,-0.4937474,-1.3029916,-0.37666973,1,Dennis Appiah
-0.624509,-0.1291209,0.03818535,-0.369744,0.096403375,0.06527482,-0.7408047,0.15931639,0,Aritz Arambarri
-0.62702036,-0.47685748,0.2842621,-0.27898508,-0.27971518,0.01973553,-0.5872896,0.6454084,0,Mauro Arambarri
-0.7611308,-0.5939983,-0.27392253,-0.3069318,0.038963377,-0.6164853,-1.4374017,0.25111815,0,Jon Aramburu
