mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,Cluster,GMM_Confidence,Recon_Error,Player
0.4487008,-0.024560563,-0.20171978,-0.18266171,0.13209762,0.043787576,0.49420792,0.44364375,-1.2118424,0.9487587,1.0420761,-0.2660019,0.029985607,0.41845447,-1.1148813,-0.9801319,7,0.99863714,0.28908983,Che Adams
0.018683583,0.15104622,0.081347525,-0.05989237,-0.021582542,-0.22338732,-0.069223724,0.14688016,-0.05727064,0.17913373,0.07787212,-0.19173945,-0.01564037,0.09052237,-0.042072196,-0.07294755,1,0.6367417,0.1594449,Tyler Adams
0.09763664,-0.25740686,-0.7092821,0.27632895,-0.47877917,0.1713179,0.37367904,0.26890534,-0.1916478,-0.060102254,0.85471433,-0.7934212,-0.13618827,-0.48091576,-0.41280448,0.07926181,1,1.0,0.18151253,Junior Adamu
0.15471967,0.09111145,-0.009274706,-0.088857934,-0.10950658,-0.031285286,0.1504936,0.022064444,-0.05991721,-0.010148212,-0.2153125,-0.015152562,0.054392435,0.022339925,-0.19408345,-0.06407836,0,0.97831744,0.071935415,Tosin Adarabioyo
0.2007617,-0.0006912872,-0.35930216,-0.100929245,-0.126981,0.16931833,0.46722114,0.24138044,-0.3617104,0.11714296,0.56745154,-0.5480696,-0.10275274,-0.2117317,-0.4698733,0.064240955,1,0.99507594,0.19895388,Martin Adeline
-0.26779115,-0.5972659,-0.3980102,0.2861793,-0.40082067,0.81256986,1.0783598,0.20706065,1.0693752,-0.86167157,-0.07974313,-0.9179685,-0.069888905,-1.5323001,-0.08931145,0.9922536,2,1.0,0.47534996,Karim Adeyemi
0.29126754,-0.073080294,-0.43995512,0.010954548,-0.1102635,0.2897456,0.432428,0.75506383,-1.2974722,1.0650725,1.5543694,-0.6251024,0.03642127,0.38888294,-1.1825858,-0.9829235,7,1.0,0.24616289,Simon Adingra
0.84898967,0.058439568,1.0407126,-0.38314334,0.19241351,-0.20812544,0.16708337,0.6805864,-2.2250464,2.1504438,0.8749646,0.98036605,0.34181085,1.6259056,-1.6690421,-2.9128184,4,1.0,0.3711062,Amine Adli
-0.03178204,-0.14051047,-0.33474565,0.07670429,-0.008711074,0.17817788,0.4427746,0.059144404,0.53492343,-0.44571397,-0.1455454,-0.49540114,-0.16802306,-0.77268326,-0.07661845,0.42734993,2,0.99966246,0.047058843,Yacine Adli
-0.9696376,1.7612963,1.7524427,-0.73909,1.2353232,-1.5213165,-2.6053429,0.18943122,0.35071108,-0.012934614,-0.8644532,2.006324,0.37276095,0.67134535,2.6518378,-0.5292428,6,1.0,0.27089673,Adrián
0.3297721,-0.3962278,-0.6514298,0.081720576,-0.6406996,0.24400832,0.57496583,0.44405323,-0.49220562,-0.11672011,0.94447374,-0.5569069,-0.05138782,-0.26209882,-0.8513358,-0.07791936,1,0.9998122,0.7345344,Adryelson
-0.2966169,-0.41658515,-0.3291142,0.18637764,-0.241114,0.70914584,1.0129987,0.16679204,1.1714929,-0.8224512,-0.20241946,-0.7250535,-0.11061404,-1.3655047,-0.027967282,1.0842639,2,1.0,0.46504554,Vasilije Adžić
-0.19990328,-0.47375658,-0.4076718,0.1839456,-0.42965898,0.7516809,0.92289037,0.2736553,0.8572049,-0.81399333,-0.10488242,-0.77313983,0.0007664338,-1.3146157,-0.1324133,0.8432966,2,1.0,0.46738714,Michel Aebischer
-0.52472734,0.2387456,0.39978558,-0.16904353,0.39077082,-0.23980714,0.5730153,-0.1554647,1.4548512,-0.6178744,-1.2465776,0.24914761,-0.23848638,-0.5650238,0.25557292,1.2724632,5,1.0,0.18084884,Oladapo Afolayan
0.13566129,0.022234343,0.11118081,-0.02367311,-0.07406843,-0.17106709,-0.041593537,0.25692648,-0.7199162,0.52851415,0.47572353,0.09231004,0.07035842,0.4499157,-0.621581,-0.83049715,4,1.0,0.16349703,Emmanuel Agbadou
0.6081482,0.91903704,2.393289,-0.086667,0.2903821,-1.1459365,-1.088625,0.41275793,-2.3982053,1.9714364,-1.0612814,2.9621456,0.44648296,2.9180906,-0.23151304,-3.812219,3,1.0,0.25803393,Emmanuel Agbadou
0.22079927,-0.3659629,-0.67839485,0.11138919,-0.7234224,0.3792858,0.79748106,0.79796547,-0.86770964,0.70088196,1.9877028,-1.4235889,-0.21751153,-0.17786671,-0.87416387,-0.43032575,7,1.0,0.20299785,Asher Agbinone
-0.2061694,-0.100759394,-0.22930263,0.21369931,0.20601001,0.06842442,0.6710767,-0.10760544,1.0429326,-0.5745094,-0.40136582,-0.7038082,-0.4885412,-1.1437575,0.07916829,0.853231,2,1.0,0.09742497,Jeremy Agbonifo
0.18128125,-0.41438848,-0.7962565,0.14379299,-0.6954692,0.31806326,0.7480837,0.56048334,-0.70493734,0.36441427,1.6057153,-1.2380598,-0.2560342,-0.318028,-0.84517443,-0.09609891,7,0.99999815,0.0976937,Julen Agirrezabala
-1.101125,0.6762416,0.5885374,-0.4625397,0.96465534,-0.7786242,-0.43399477,0.024928302,2.1603498,-1.1515561,-1.7912619,0.93327016,0.055833913,-0.62882835,1.1011769,1.1036376,5,1.0,0.10030478,Lucien Agoume
-0.052170493,-0.46069434,-0.45786017,0.21361944,-0.36241704,0.4255812,0.95756906,0.05358295,0.88787305,-0.6618537,0.055163033,-1.2089403,-0.32047498,-1.3996096,-0.13713679,0.76355255,2,0.9954745,0.09990035,Felix Agu
-0.5225046,0.2641865,0.5270887,-0.27876127,0.2635988,-0.32391962,0.301153,-0.025917813,1.1389173,-0.5125766,-1.21305,0.59351724,0.028139412,-0.15981281,0.3093388,0.9541785,5,1.0,0.21822655,Álvaro Aguado
0.20747116,-0.52863675,-0.5798388,0.17318855,-0.8046056,0.38325426,0.714954,0.59303933,-0.6799897,0.40513852,1.6869179,-1.1594748,-0.2459361,-0.416799,-0.8428946,-0.43178684,7,1.0,0.5281693,Lorenzo Aguado
-0.6221492,-0.15499234,-0.05562271,-0.11923927,0.21790281,0.34736338,0.860465,0.10016509,1.6663308,-0.8787996,-0.8900443,-0.37614113,-0.16512612,-1.2941834,0.1491752,1.3422009,2,1.0,0.22530922,Nayef Aguerd
-0.098240905,0.22576052,0.23830597,-0.17866458,0.041536935,-0.16243385,0.34334308,-0.095889,0.760532,-0.31709522,-0.75239205,0.1655128,-0.044510417,-0.24034078,0.07837106,0.6985406,5,0.9999752,0.12765813,Ruben Aguilar
1.2504069,0.24965754,0.98317814,-0.49182987,0.10340609,-0.52806044,0.19305794,1.1777025,-2.2510161,2.148991,1.0468568,1.1178957,0.025802396,2.1485066,-1.786131,-3.1527467,4,1.0,0.447192,Naouirou Ahamada
-1.2239518,1.3287703,1.2869494,-0.44873488,0.63989896,-1.2646843,-0.5977125,0.30180702,0.78946686,-0.053533807,-1.8050855,1.9497321,0.3570124,0.5866524,1.4778795,0.19259515,0,1.0,0.2828822,Honest Ahanor
-0.47535563,0.9714287,1.3578252,-0.12380421,-0.0072704125,-1.1080974,-0.18928881,0.24534696,-0.20538393,0.43164438,-1.4574537,1.8250053,0.39904824,1.1880631,0.5821709,-0.63184255,3,1.0,0.17301795,Erik Ahlstrand
-0.74671054,0.61491543,0.5385636,-0.38962385,0.34643608,-0.7745902,-0.37047833,0.22782815,0.6314362,-0.08534612,-1.1236084,1.2066759,0.27980396,0.069172636,0.7107359,0.082427755,6,0.9985848,0.15650281,Jean-Eudes Aholou
-0.013464466,0.2347463,0.6035519,-0.3534589,-0.23681901,-0.39127496,0.15858744,0.13331908,0.22743389,-0.009729796,-0.6626561,0.83156145,0.30462298,0.54176617,-0.058360662,-0.031064922,0,1.0,0.30291852,Joseph Aidoo
0.40754095,0.262494,0.5240573,-0.2155379,0.016017038,-0.43463933,0.28044122,0.19198981,-0.92825425,0.7870102,0.05221174,0.55943006,0.06866332,1.0082682,-0.8658172,-1.2014788,4,0.9978747,0.23764229,Joseph Aidoo
-0.4547283,0.27926245,0.14745931,-0.37035224,0.47592032,-0.33244902,0.11668657,-0.044566885,1.195386,-0.54879147,-1.0412655,0.34747326,0.0014910996,-0.42165422,0.34007657,0.6746637,5,1.0,0.1301502,Ayman Aiki
0.5650683,-0.07087872,-0.7111594,0.048493814,0.004780477,0.036184482,0.4631405,0.9713593,-1.5115274,1.3294588,2.0212321,-0.5867561,-0.07229599,0.7473301,-1.4971555,-1.1800858,7,1.0,0.61313665,Ola Aina
-0.16181812,-0.40911186,-0.37224013,0.2537175,-0.18031895,0.6004387,0.9736838,-0.027861595,0.9713762,-0.6554684,0.017178712,-0.8358873,-0.24853954,-1.3615911,-0.10544172,0.93478775,2,1.0,0.27721578,Rayan Aït-Nouri
0.06681043,-0.16862407,-0.29335248,0.22230986,-0.15572351,0.111012906,0.43885082,0.005318336,0.34880716,-0.17054966,0.19294864,-0.7112613,-0.39880964,-0.623234,-0.09138474,0.41877815,1,1.0,0.1286189,Junior Ajayi
0.28176743,-0.029611342,-0.36755347,-0.012495641,-0.035607673,0.07801666,0.2985689,0.34222448,-0.867903,0.55049485,0.7738864,-0.36360845,-0.015067637,0.22478677,-0.7984943,-0.4378083,7,1.0,0.20565431,Kristoffer Ajer
0.1629054,-0.1324301,-0.4440773,0.030576896,-0.20334427,0.22388844,0.46021163,0.27329946,-0.35739636,0.15432796,0.6940785,-0.6561212,-0.14068575,-0.28816926,-0.4933942,0.0684018,1,0.98696876,0.09588482,Ludovic Ajorque
-0.1858457,0.42052352,0.573678,-0.3978064,0.10393034,-0.64391667,-0.3349067,0.063284695,-0.028734788,0.14540961,-0.64690566,0.75084573,0.141873,0.41855496,0.18381675,-0.30426076,0,0.9998931,0.22160116,Manuel Akanji
-0.8123197,2.3312495,2.97082,-0.5565213,1.5208877,-2.1667912,-2.907797,0.26996937,-1.041404,1.311907,-1.1882378,3.1453307,0.24837604,2.0506997,2.7019484,-2.143448,3,1.0,0.24977303,Ümit Akdag
0.18961127,-0.5304245,-0.71549714,0.2954091,-0.9390353,0.45412818,0.89929193,0.3406617,-0.3414308,-0.115680605,1.2590574,-1.347184,-0.24781045,-0.758067,-0.6439785,0.066579536,1,1.0,0.18623969,Nathan Aké
-0.12991312,0.4176181,0.10602705,-0.40373802,0.16566147,-0.3857159,-0.090378575,0.039816845,0.65797734,-0.35829028,-0.7280096,0.33584777,0.108400114,-0.13953489,0.26524055,0.25362882,5,0.9994708,0.083178334,Ilias Akhomach
-0.24618617,-0.038775876,-0.23411362,0.05860195,0.23310584,0.19915225,0.59837276,-0.0037634969,1.0140008,-0.56928366,-0.49295118,-0.3458177,-0.30284008,-0.93201244,0.0032223612,0.9148213,2,1.0,0.0765967,Sergio Akieme
0.16435412,-0.19076139,-0.50677234,0.15726927,-0.26304933,0.09148352,0.24858136,0.23911153,-0.5175177,0.34290874,0.63133454,-0.22185983,-0.17680483,0.0927017,-0.7140908,-0.31272802,7,0.9998513,0.16487904,Maghnes Akliouche
0.4045206,-0.05580107,-0.17962359,-0.08545661,0.041090213,-0.026007537,0.20138203,0.4731323,-1.3089752,1.0524209,1.020968,-0.16128863,-0.027096044,0.7374419,-1.2309132,-1.2423213,4,0.9990163,0.21091561,Paul Akouokou
0.57800937,0.82807124,1.6562592,-0.3610152,0.22677058,-1.077897,-0.4921518,0.5454825,-1.5771594,1.6081083,-0.07765746,1.714668,0.23029044,2.207948,-0.6208247,-2.3934844,3,1.0,0.41819724,Clément Akpa
-0.21244511,-0.015198313,-0.17157798,0.15206051,0.3246731,-0.0049951114,0.5775911,-0.17966898,1.0899484,-0.578315,-0.61449176,-0.5240123,-0.45315388,-1.0644749,0.1442018,0.8466568,2,1.0,0.072037816,Jean-Daniel Akpa-Akpro
-0.43140477,1.3776,2.1176279,-0.4400332,0.8738745,-1.3792895,-1.579742,0.32587022,-0.82464707,0.9983021,-1.2043325,2.531136,0.6213428,1.5163941,1.6790816,-1.5833707,3,1.0,0.21112394,David Akpan Ankeye
0.32937175,-0.5627789,-0.85757005,0.31032297,-0.91009194,0.42673805,0.7215357,0.7386729,-0.87143135,0.42912754,1.9630964,-1.5106921,-0.27730533,-0.28545338,-0.9375463,-0.2945368,7,1.0,0.37828344,Kevin Akpoguma
0.6869821,0.07099271,0.21089074,-0.38850266,0.4744276,-0.009935671,0.3407005,0.72689843,-1.881718,1.7045803,1.4165128,0.14800718,0.22590363,1.1118817,-1.5145142,-2.2055666,4,1.0,0.31882757,Chuba Akpom
0.29998305,-0.1874542,-0.70815265,-0.17368531,-0.12731151,0.17990014,0.84717965,0.7525957,-1.1624417,0.89996606,1.6801215,-0.77219665,-0.18768668,0.24953395,-1.2661968,-0.60612303,7,1.0,0.42231336,David Alaba
0.6555893,-0.037084423,-0.52850044,-0.35348806,0.35573542,0.11755061,0.8643883,1.1471,-1.968549,1.8963033,2.3345275,-0.51887995,-0.077473596,0.88585925,-1.8403019,-1.836691,7,1.0,0.3131319,Ibrahim Alani
-0.8135148,0.20215413,0.2825094,-0.27881876,0.70195395,-0.41228032,-0.11164783,-0.024553902,1.7487566,-0.9087338,-1.346263,0.37356007,0.0213838,-0.74181336,0.5681935,0.9358044,5,1.0,0.091942206,Andreas Albers
0.19740248,0.0009736642,-0.16974434,-0.054465383,0.12706837,0.079689294,0.2931915,0.04858556,0.19900793,-0.20759481,0.0023912452,-0.6298713,-0.14722672,-0.5155665,-0.080674864,0.2888596,1,0.9629148,0.10197933,Raúl Albiol
0.86965626,-0.016678914,0.39232033,-0.11487943,-0.02574205,-0.18918125,0.24171157,0.8954988,-1.8445365,1.7402024,1.1651591,0.4848626,0.03789463,1.35995,-1.619904,-2.2041411,4,1.0,0.54166484,Carlos Alcaraz
-0.034347646,0.25272286,0.19562206,-0.2756236,0.09021954,-0.30663645,0.23657401,-0.1446865,0.46035025,-0.18528004,-0.6464199,0.13121983,-0.027903195,-0.039916348,0.02160398,0.33638218,5,0.68116015,0.0775999,Carlos Alcaraz
0.3042616,-0.28603017,-0.7677617,0.17385718,-0.51778257,0.16099112,0.52544254,0.5357795,-0.8490815,0.4736921,1.4098966,-0.88306457,-0.20409581,0.015832067,-0.9222656,-0.28057945,7,1.0,0.38695833,Omar Alderete
-0.9891018,0.37802097,0.41433567,-0.24716203,0.743054,-0.5099683,0.021568611,-0.011918627,1.8420357,-0.8584264,-1.5996928,0.6021964,-0.04052808,-0.56792516,0.74059683,1.1685231,5,1.0,0.124093786,Carles Aleñá
-0.3161053,0.07442984,0.02834222,-0.14608344,0.2252356,0.0009316858,0.5106423,-0.013651811,1.1391202,-0.5235041,-0.7605092,-0.05234804,-0.13269131,-0.6412906,0.16121137,0.8953006,2,0.9982049,0.13458052,Carles Aleñá
-0.03383743,0.9076358,1.584163,-0.26011708,0.040545404,-1.0541652,-0.19575228,0.1581536,-0.73440003,0.6547683,-1.2164127,1.8045803,0.06460013,1.6460956,0.06871107,-1.1087956,3,0.9999957,0.23957343,Ben Alexander Voll
0.09754339,0.10197741,-0.12151736,0.04640666,0.1569486,-0.075626545,0.28772455,-0.0341727,0.366863,-0.25918132,-0.34920958,-0.3575681,-0.34367153,-0.4644091,0.021842651,0.3956271,2,0.9982906,0.12763721,Trent Alexander-Arnold
0.3348396,-0.1352585,-0.3723293,-0.012196165,-0.2018935,0.2989949,0.35483235,0.7028243,-1.2202221,1.0060037,1.3137467,-0.5141468,-0.021727018,0.35650706,-1.1364232,-0.948512,7,1.0,0.25488687,Alfon
-0.31969574,0.8499666,0.7405185,-0.4017069,0.44314483,-0.7661349,-1.2316248,0.11978303,0.21930477,-0.17413412,-0.5018389,0.78278327,0.036646172,0.26066703,1.1501148,-0.26075304,0,0.9989907,0.699773,Mohamed Ali Cho
0.3150215,-0.2275283,-0.5764865,-0.06414424,-0.27046517,0.37719136,0.7037768,0.9882332,-1.2482089,1.1327548,1.9289085,-0.9718242,-0.19342747,0.3247203,-1.2303331,-0.9028815,7,1.0,0.4147266,Faride Alidou
-0.48537832,-0.13841128,-0.16652805,0.3427794,0.49633163,-0.14960074,0.70508146,-0.39823413,1.6977295,-0.813128,-0.8356796,-0.8533332,-0.77501595,-1.6464862,0.29003352,1.042375,2,1.0,0.335385,Alisson
-0.24880332,0.14190747,-0.16349362,0.15923661,0.42116955,-0.16197652,0.2706368,-0.29945576,1.0835587,-0.48752618,-0.63012516,-0.6661392,-0.49861744,-1.1181573,0.26879185,0.5818678,2,0.9999752,0.353921,Tadeo Allende
-0.9920277,0.6286253,0.4363513,-0.40866327,0.9170255,-0.6865172,-0.63001734,0.14356193,1.6422501,-0.82310265,-1.5427241,0.83760965,0.005637318,-0.6439405,1.0622164,0.62433296,5,1.0,0.17562431,Jim Allevinah
0.16526377,-0.15790266,-0.34883666,0.043892775,-0.35952082,0.31068963,0.36311346,0.49360877,-0.773628,0.52473086,1.0598894,-0.7142988,-0.082971044,-0.016921371,-0.7416076,-0.39739493,7,1.0,0.1608291,Dele Alli
0.8467567,-0.19799137,0.51534086,0.11383276,-0.07002841,-0.11259348,0.20707895,0.7577801,-1.6220894,1.2831988,0.4797449,0.80817515,-0.040354304,1.2330902,-1.453545,-2.0723183,4,1.0,0.5907368,Thiago Almada
0.10292475,0.112065405,-0.3134799,-0.05959299,0.10213265,-0.035887413,0.051787466,0.1999176,-0.4692945,0.30283913,0.33911324,-0.16916825,0.028846346,0.1436339,-0.35533142,-0.3327685,4,0.9660284,0.1840918,Domingos André Ribeiro Almeida
-0.70112896,0.361664,0.32017487,-0.43746176,0.6172407,-0.5157497,-0.25569636,0.08956841,1.5072685,-0.69880307,-1.3277004,0.47120106,0.1087581,-0.5549794,0.6761744,0.6045134,5,1.0,0.09094175,Iker Almena
0.13770922,0.54100543,1.1709689,-0.19963375,0.084325895,-0.85923874,-0.41368914,0.024649132,-0.71264184,0.5145673,-0.59882325,1.3146456,0.22211021,1.3439018,-0.12039135,-1.2672749,3,0.9982496,0.1192839,Miguel Almirón
-0.6660809,0.37184006,0.5418073,-0.56824005,0.6351939,-0.5075433,-0.3018602,0.07947651,1.6827608,-0.8467638,-1.2733835,0.81525385,0.24709153,-0.3803143,0.7622526,0.8958869,5,1.0,0.25574344,Pontus Almqvist
0.44942358,0.2514899,0.3700289,-0.35750657,0.06737119,-0.32620597,0.14781575,0.5215645,-0.82856715,0.87490004,0.6939298,0.10720669,-0.013085365,0.7433171,-0.54804426,-1.1093565,4,1.0,0.44493192,Marcos Alonso
-0.8053396,0.63946855,0.540072,-0.3252024,0.61262363,-0.6666518,-0.082081564,-0.05258584,1.6764812,-0.85743845,-1.5026555,0.7867747,-0.024639346,-0.25370893,0.83930075,1.1176949,5,1.0,0.1805285,Giorgio Altare
