Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Adam Armstrong,5,23.25812,21.69538,6.752978,1.9320565
Hákon Arnar Haraldsson,3,25.608364,-14.94674,6.809129,6.9194365
Marko Arnautović,5,26.092089,19.32888,7.177015,2.1894531
Maximilian Arnold,4,3.324827,-21.40981,3.916689,8.162969
Jann-Fiete Arp,5,24.858517,19.281513,7.113755,2.1321
Arthur,2,-21.784077,29.874062,0.793603,0.75475955
Takuma Asano,5,26.594233,25.281414,7.2243414,1.490406
Raúl Asencio,1,-33.81899,-4.4764233,-1.3176469,5.7691336
Marco Asensio,5,25.21944,16.177034,7.0783234,2.7915006
Marco Asensio,5,35.04307,12.005905,8.642445,3.4020312
Kristjan Asllani,0,6.969518,11.338943,4.685886,3.492226
Iago Aspas,3,35.237843,-7.811679,8.360594,6.4899197
Yaser Asprilla,0,18.646038,-6.210964,6.2295494,5.978434
Lorenz Assignon,4,9.148312,-28.779776,4.7945943,9.082656
Valentin Atangana Edoa,7,-9.671223,-25.238525,1.9056432,8.830336
Arthur Atta,5,8.015775,14.493502,4.807495,3.0763896
Tommaso Augello,4,6.713147,-30.420519,4.5159225,9.315305
Carlos Augusto,4,-1.6659913,-2.504433,2.9774888,5.5817657
Yann Aurel Bisseck,1,-0.22909223,-1.7906988,2.9996932,5.4278812
Ezequiel Ávila,5,19.188246,26.007456,6.4128466,1.3644053
Yasin Ayari,4,2.2095835,-13.656732,3.7477283,7.172068
Florian Ayé,5,19.00291,35.378628,6.417409,0.30747762
André Ayew,5,25.995245,22.64362,7.2204943,1.7991768
Jordan Ayew,0,17.315699,8.586794,6.0116415,4.0244207
Neil El Aynaoui,4,3.288422,-2.6272473,3.7178872,5.751376
Adam Aznou,2,-17.56164,25.048466,1.1678251,1.4825444
César Azpilicueta,2,-22.025467,18.545523,0.2510865,2.26779
Shavy Babicka,5,28.437412,12.497276,7.547158,3.4306598
Loïc Bade,7,-29.990652,-25.60082,-1.2306131,8.923725
Milan Badelj,1,-14.551599,3.8367202,1.1840934,4.668565
Alex Baena,3,36.699886,-19.154263,8.349001,7.908058
Juma Bah,2,-36.240513,19.148907,-1.301902,1.9932567
Juma Bah,2,-37.587852,10.790439,-1.4529964,3.3008683
Leon Bailey,5,20.095337,12.611616,6.4039125,3.3857446
Eric Bailly,2,-37.871944,21.25562,-1.521517,1.7439235
Theo Bair,5,30.976429,25.658413,8.010272,1.5124708
Stefan Bajcetic,2,-18.51513,23.90616,1.0156413,1.5650691
Cédric Bakambu,5,33.344616,24.923265,8.187842,1.6661146
Mitchel Bakker,0,17.46197,-2.1741858,5.98341,5.35226
Ridle Baku,5,4.590932,12.973397,4.150666,3.2298748
Ridle Baku,0,2.418724,3.4108367,3.7345011,4.8020124
Dilane Bakwa,3,34.096306,-17.217543,8.148333,7.7242327
Tommaso Baldanzi,5,16.074963,20.486635,5.8457713,2.0297318
Alejandro Balde,4,11.695773,-24.96339,5.2086973,8.558313
Keita Baldé,5,20.314835,31.781866,6.378375,0.45462713
Carlos Baleba,7,-4.502057,-31.058231,2.9170148,9.678047
Leonardo Balerdi,7,-23.214697,-32.880978,-0.1851261,10.00756
Iván Balliu,2,-21.347494,16.203665,0.35741207,2.589451
Fodé Ballo-Touré,2,-29.99549,30.49029,-0.05910286,0.6288906
Botond Balogh,1,-34.655453,-9.603041,-1.3936516,6.46352
Folarin Balogun,5,36.69253,19.76065,8.513893,2.2902813
Abdoulaye Bamba,2,-36.727924,-1.2087352,-1.4730438,5.1418443
Jonathan Bamba,5,8.656568,17.222319,4.8580527,2.8703523
Lameck Banda,5,19.223969,28.660181,6.352416,0.9792304
Mattia Bani,1,-33.62367,3.7226348,-1.2539557,4.4522877
Valentín Barco,1,-10.485344,3.5675292,1.8908149,4.751971
Bradley Barcola,3,43.62668,-13.089948,9.366811,7.3589997
Melvin Bard,7,-2.5036457,-21.504452,2.9239225,8.181485
Nicolò Barella,4,12.256616,-35.909378,5.2984,9.960557
Ross Barkley,2,-2.5830345,27.627386,2.7614927,1.2958083
Harvey Barnes,3,36.50766,-8.550589,8.546135,6.5121956
Enzo Barrenechea,7,-11.666034,-19.2107,1.4633951,7.9279356
Ander Barrenetxea,0,13.726963,0.10777464,5.5527754,5.122047
Pablo Barrios,4,-4.275565,-28.190859,2.854219,9.282385
Thierno Barry,6,47.538887,0.87905,10.448903,5.911687
Marc Bartra,7,-30.442928,-16.724234,-1.0467461,7.597222
Federico Baschirotto,7,-31.457632,-24.480927,-1.2455449,8.862981
Calvin Bassey,7,-21.77502,-31.319084,-0.0039374745,9.760007
Alessandro Bastoni,4,1.8814262,-34.97212,3.9505255,9.952502
Dylan Batubinsika,1,-34.479614,-13.712582,-1.3843881,7.0150576
Maximilian Bauer,2,-31.498611,27.674835,-0.37851828,0.8985206
Christoph Baumgartner,0,19.094471,4.892811,6.2958984,4.489888
Adrian Beck,0,18.422232,2.4096742,6.1774583,4.8053174
Sheraldo Becker,5,23.73574,16.964376,6.903266,2.7924075
Timo Becker,1,-18.61102,-11.340427,0.63369566,6.847248
Jan Bednarek,7,-33.636105,-26.148573,-1.3264688,8.934713
Donny van de Beek,0,3.2301235,5.1606274,3.8634448,4.587631
Maximilian Beier,6,38.664043,1.1955894,9.058196,5.3920035
Reda Belahyane,1,-11.947043,-2.010371,1.6702316,5.648745
Haris Belkebla,1,-25.89704,-13.667035,-0.46899775,7.244245
Yassin Belkhdim,1,-22.10602,12.221614,0.530475,2.9142282
Stefan Bell,1,-32.108856,3.7587821,-1.1223497,4.380988
Raoul Bellanova,3,13.538098,-25.147507,5.411479,8.656406
Jean-Ricner Bellegarde,0,15.538334,-7.669797,5.6317887,6.2940216
Héctor Bellerín,2,-18.571571,19.376127,0.8298429,2.4833205
